date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:34	824/824	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:21:34%20GMT	https://cleaner.gq/robots.txt		(from )
18:21:34	2612/2612	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:34%20GMT	https://cleaner.gq/	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/index.html	(from )
18:21:35	671/671	---MCZ	200	added ('OK')	text/css	etag:W/%22d86397b357886f56bb355c42cd13dc20-ssl%22	https://cleaner.gq/style/font.css	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/style/font.css	(from https://cleaner.gq/)
18:21:35	11002/11002	---M-Z	200	added ('OK')	text/css	etag:%22cf752c4da5270d198c9e98a1b7326539-ssl-df%22	https://cleaner.gq/style/style.css	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/style/style.css	(from https://cleaner.gq/)
18:21:36	32915/32915	---M--	200	added ('OK')	image/png	etag:%22bc4ebec98969edb4d65d4d5186fcaeef-ssl%22	https://cleaner.gq/unknown.png	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/unknown.png	(from https://cleaner.gq/)
18:21:36	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:36%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/)
18:21:36	1560/1560	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:36%20GMT	https://cleaner.gq/About.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/About.html	(from https://cleaner.gq/)
18:21:36	3579/3579	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:36%20GMT	https://cleaner.gq/about	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/about.html	(from https://cleaner.gq/)
18:21:37	985/985	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:37%20GMT	https://cleaner.gq/Tools.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Tools.html	(from https://cleaner.gq/)
18:21:37	2160/2160	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:37%20GMT	https://cleaner.gq/tools	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/tools.html	(from https://cleaner.gq/)
18:21:37	824/824	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:37%20GMT	https://cleaner.gq/Sel.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Sel.html	(from https://cleaner.gq/)
18:21:37	1863/1863	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:37%20GMT	https://cleaner.gq/sel	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/sel.html	(from https://cleaner.gq/)
18:21:37	2188/2188	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:38%20GMT	https://cleaner.gq/Games.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Games.html	(from https://cleaner.gq/)
18:21:38	5611/5611	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:38%20GMT	https://cleaner.gq/games	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/games.html	(from https://cleaner.gq/)
18:21:38	561916/561916	---M--	200	added ('OK')	image/gif	etag:%228526a90d436b34d4748b6d879f545178-ssl%22	https://cleaner.gq/download.gif	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/download.gif	(from https://cleaner.gq/)
18:21:39	1018/1018	---MCZ	200	added ('OK')	text/plain	etag:W/%22fa7d5b7fe551fc327013c0795200ad72-ssl%22	https://cleaner.gq/changelog.txt	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/changelog.txt	(from https://cleaner.gq/)
18:21:39	962/962	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:39%20GMT	https://cleaner.gq/Bookmarklets.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Bookmarklets.html	(from https://cleaner.gq/)
18:21:39	2085/2085	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:39%20GMT	https://cleaner.gq/bookmarklets	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/bookmarklets.html	(from https://cleaner.gq/)
18:21:40	1844/1844	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:40%20GMT	https://cleaner.gq/Tos.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Tos.html	(from https://cleaner.gq/)
18:21:40	4286/4286	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:40%20GMT	https://cleaner.gq/tos	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/tos.html	(from https://cleaner.gq/)
18:21:40	3215/3215	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:40%20GMT	https://cleaner.gq/Pp.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Pp.html	(from https://cleaner.gq/)
18:21:41	8654/8654	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:40%20GMT	https://cleaner.gq/pp	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/pp.html	(from https://cleaner.gq/)
18:21:41	63648/63648	---MCZ	200	added ('OK')	font/ttf	etag:W/%227b967a7507dfb1ca8e9e314b1ed1ced5-ssl%22	https://cleaner.gq/style/fonts/comicsans/comic.ttf	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/style/fonts/comicsans/comic.ttf	(from https://cleaner.gq/style/font.css)
18:21:42	261050/261050	---MCZ	200	added ('OK')	font/ttf	etag:W/%22b20dda6c52ecaf5d00cbee4d89d751cc-ssl%22	https://cleaner.gq/style/fonts/calibri/Calibri.ttf	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/style/fonts/calibri/Calibri.ttf	(from https://cleaner.gq/style/font.css)
18:21:42	57280/57280	---MCZ	200	added ('OK')	font/ttf	etag:W/%224c463b11d478d3206745b18c7354fb23-ssl%22	https://cleaner.gq/style/fonts/agency/Agency_FB.ttf	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/style/fonts/agency/Agency_FB.ttf	(from https://cleaner.gq/style/font.css)
18:21:42	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:42%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/about)
18:21:43	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:43%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/about)
18:21:43	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:43%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/tools)
18:21:44	10902/10902	---M-Z	200	added ('OK')	application/javascript	etag:%22bf35dbf8bbafc96274e0b9d5d1352956-ssl-df%22	https://cleaner.gq/js/main.js	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/js/main.js	(from https://cleaner.gq/tools)
18:21:44	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:44%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/tools)
18:21:45	908/908	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:45%20GMT	https://cleaner.gq/Soundtest.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Soundtest.html	(from https://cleaner.gq/tools)
18:21:45	908/908	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:45%20GMT	https://cleaner.gq/soundtest	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/soundtest.html	(from https://cleaner.gq/tools)
18:21:45	775/775	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:45%20GMT	https://cleaner.gq/Webhook.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Webhook.html	(from https://cleaner.gq/tools)
18:21:46	1440/1440	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:45%20GMT	https://cleaner.gq/webhook	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/webhook.html	(from https://cleaner.gq/tools)
18:21:46	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:46%20GMT	https://cleaner.gq/Chatbox.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Chatbox.html	(from https://cleaner.gq/tools)
18:21:46	1355/1355	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:46%20GMT	https://cleaner.gq/chatbox	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/chatbox.html	(from https://cleaner.gq/tools)
18:21:47	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:46%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/sel)
18:21:47	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:47%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/sel)
